id,tanggal,platform,topik,teks,label
22,2026-04-27,YouTube,MBG,"Sengaja bikin ladang kok...ladang korupsi..ladang mubazir...kalau untuk sekolah pelosok2 ... mcm papua kalimantan yg jauh dr kota mungkin ya bermanfaat...liat kalo d jakarta selatan ..pondok indah...anak kalangan pengusaha...taipan mana mau mbg...😂😂😂

 lbih manfaat pindahkan dananya program smu dan kuliah univ negeri gratis",Negatif
23,2026-04-27,YouTube,MBG,"Mirip bosnya suka pamer capaian,gk pernah evaluasi. Apakah kasus keracunan berhenti,apakah kelayakan MBG sesuai standar gizi,apakah bentuk penyajian/pengemasan memenuhi standar higienisme.",Negatif
24,2026-04-27,YouTube,MBG,yg.Koropsi.tangkap,Negatif
25,2026-06-22,YouTube,MBG,Korupsi berjamaah berkedok gizi!!! Hukum mati koruptor MBG!,Negatif
26,2026-06-16,YouTube,MBG,Pertahankan mbg perbaiki sistemnya 🙏🏻,Negatif
27,2026-06-15,YouTube,MBG,Bancakan itu apa di konteks ini,Negatif
28,2026-06-14,YouTube,MBG,Waktu ngotot mau beroperasi selama libur sekolah sudah fix 100% nggak benar sih.,Negatif
29,2026-06-13,YouTube,MBG,"Harga bahan pokok naik, minyak naik gaji ga naik mati aja rakyat bawah ini",Negatif
30,2026-06-12,YouTube,MBG,Repolousi.....hukum si wowowo....,Negatif
31,2026-06-12,YouTube,MBG,"semenjak awal program ini memang lucu.

menggandeng pihak ketiga sebagai penyelenggara (sppg).

sedangkan pihak ketiga tersebut untuk membangun sppg, mengeluarkan uang miliaran sebagai investasinya.

kalau menggunakan nalar saja, kita sudah bisa tau, bahwa pihak sppg pastinya harus mengembalikan modal untuk membangun sppg, plus mendapatkan untung.

mana ada orang rela mengeluarkan uang miliaran rupiah tapi tidak mencari untung.

memangnya ada orang di negara ini yang sebegitu ikhlas, sehingga rela mengeluarkan miliaran demi menyumbang bangsa, sehingga dia tidak butuh untung dan tidak butuh balik modal.

dari skema programnya saja sudah terbuka secara gamblang bahwa ada unsur bisnis di situ, yaitu dengan terlibatnya pihak ketiga sebagai sppg.

di dalam bisnis 99,99% tujuannya untuk rente/keuntungan.

jadi tidak kaget kalau banyak kasus keracunan MBG. Lalu banyak juga komplain mengenai kualitas MBG😂

Makan Begizi Gratis😂🤣

Apanya yang bergizi🤣
Bergizi pun tidak🤣

Gratisnya pun tidak🤣
karena harus dibayar salah satunya dengan kenaikan pajak pbb di sejumlah daerah🤣",Positif
32,2026-06-12,YouTube,MBG,Pemimpinnya korup y bwhnya ngikut,Negatif
33,2026-06-12,YouTube,MBG,"Bahas dong pa Firly sampai saat ini AMAN SENTOSA. Tiru Ilmunya, kok bisa ???",Negatif
34,2026-06-12,YouTube,MBG,"Jgn lagi pake istilah koruptor...lbh keren pake pencuri, maling, perampok, begal",Negatif
35,2026-06-12,YouTube,MBG,Alhamdulillah Alloh ciptakan neraka untuk orang yang zholim karena penjara pun tidak cukup....m,Positif
36,2026-06-12,YouTube,MBG,Presiden terburuk dalam sejarah,Negatif
37,2026-06-12,YouTube,MBG,"Banyak ahli gizi diluar sana, yang jadi kepala BGN malah orang biologi serangga 😂",Negatif
38,2026-06-12,YouTube,MBG,"Yang membayangkan statusnya MANTAN kepala BGN & WAKIL,ny di copot. Karna si Dadan di copot dulu baru di tangkap. Terkesan citra MBG baik""saja. Coba saja kalau si Dadan masih menjabat kepala BGN saat di tangkap. Pastinya jelas kalau program MBG memang cacat. Bukan hanya si dadan saja yg cacat",Negatif
39,2026-06-12,YouTube,MBG,"Orang pem kenyang rakyat miskin, gimick d hukum",Negatif
40,2026-06-12,YouTube,MBG,muak bgd anajajajajajaj dgn mereka dan pemujanya... udh jelas proyek korupsi masih saja dilaksanakan,Negatif
41,2026-06-12,YouTube,MBG,"Presiden malah punya yayasan juga, hadeh",Negatif
42,2026-06-12,YouTube,MBG,TUTUP MBG...💪🇮🇩💪,Negatif
43,2026-06-12,YouTube,MBG,"Turun temurun uang korupsi akan membawa mereka ke Neraka...hukum Negara boleh mereka buat2&menjadi hukum iblis,tp Hukum Allah SWT sdh jelas keadilannya...""",Negatif
44,2026-06-16,YouTube,MBG,Orang yang merasa kenyang tidak tahu rasanya lapar,Negatif
45,2026-06-12,YouTube,MBG,"Pemerintah dr jakowi&dilanjutkan prabowo menanam kepemerintahan yg bobrok.
.""",Negatif
46,2026-06-12,YouTube,MBG,Dlm setiap aktivitas selalu bisa terjadi pencurian. Musibah misalnya,Negatif
47,2026-06-12,YouTube,MBG,"bila mahluk LINGLUNG & TIDAK WARAS jadi presiden.. pasti DIMANFAATKAN oleh para PENJILAT sekaligus PENJAHAT dilingkaran kekuasaan : EKSEKUTIF, LEGISLATIF, YUDIKATIF.. semua BERPESTA-PORA menjarah negara, karena sudah tahu kelemahan presiden..
HANYA RAKYAT BERSATU yang bisa menghentikan BOBROKNYA KEKUASAAN dengan REVOLUSI !!",Negatif
48,2026-06-12,YouTube,MBG,"rakyat makan racunnya .. para pengurus MBG makan gizinya .. dilaknat Allah kalian para pengurus BGN, MBG dan SPPG .. na'udzubillah min dzalik .. 🤲",Negatif
49,2026-06-12,YouTube,MBG,"Sejak awal MBG sudah dicurigai sebagai lahan korupsi berjama'ah bagi kroni, relawan dan partai pendukung Wowo",Negatif
50,2026-06-12,YouTube,MBG,"Herannya tuh heran bgt, knp baru pada sadar skrg, mereka beli kaos kaki 5.9m aja udh aneh bgt",Negatif
51,2026-06-12,YouTube,MBG,"Itu Naniek Deyang sama aja korupnya, dg yang sudah ditangkap. Naniek bagian dari jaringan kalau dia tidak langsung paling tidak mengetahui dan membiarkan korupsi. Sama saja
 Perlu orang bersih dan punya integritas, serta keberanian buat menolak, bukan cuma diam dan belagak buta dan tuli 😅😅",Negatif
52,2026-06-12,YouTube,MBG,"mending gratiskan sekolah sampai jenjang universitas, bayar guru lebih baik . itu dah meringankan beban orang tua. kantin sekolah sewa gratis biar ibu2 sekitar bisa usaha . kartu pelajar kurang mampu dapatkan bantuan untuk buku , seragam.  daripada program rentan korupsi",Positif
53,2026-06-12,YouTube,MBG,"Host gak pernah diajari etika dan sopan santun ya di sekolah atau di rumah? Berbicara di depan publik kok duduk sambil angkat kaki spt itu? Sopan dikit dong,",Negatif
54,2026-06-12,YouTube,MBG,Mana buzzer,Negatif
55,2026-06-12,YouTube,MBG,"BGN "" BADAN GARONG NASIONAL "".",Netral
56,2026-06-12,YouTube,MBG,Program paling carut marut 😅,Negatif
57,2026-06-12,YouTube,MBG,"Dari awal rakyat awam pun udah tau kalau proyek ini bakal jadi bancakan korupsi berjamaah dan sarang koruptor baru. Bisa2nya yang duduk di atas sana, apalagi yg di kursi tertinggi, tidak bisa melihat permasalahan ini? Layak kah kau jadi pemimpin dan pejabat kalau hal seperti ini saja masih perlu diajari rakyatnya? Beda hal nya kalau memang dari awal tujuannya adalah untuk bagi2 ke pendukung2nya, berarti memang brengsek dari awal.",Negatif
58,2026-06-12,YouTube,MBG,"keren Tempo, liputanya selalu tajam dan mendalam",Positif
59,2026-06-12,YouTube,MBG,kata redaktur Tempo: Piye? bener omonganku tho?,Negatif
60,2026-06-12,YouTube,MBG,Betul juga semboyannya dulu untuk melanjutkan sistem moralitas bobrok sebelumnya 😂,Negatif
61,2026-06-12,YouTube,MBG,Indonesia gak akan maju2 selagi korupsi masih merajalela dan tak ada kepastian hukum buat korupsi harusnya di hukum gantung di depan umum,Negatif
62,2026-06-12,YouTube,MBG,"Kata ""PENCURI"" msh tll halus..
Lebih cocok ""PENGGARONG / PERAMPOK""",Negatif
63,2026-06-12,YouTube,MBG,Selama hukuman mati bagi koruptor tidak terealisasi jangan harap Indonesia maju,Negatif
64,2026-06-12,YouTube,MBG,"Kepala bgn yg baru,ngemis biaya mbg ke perusahaan lewat bantuan dan CSR,sudah kacau tatanan bangsa ini,karena ulah 1 penguasa yg gila dan ambisi berkuasa dengan janji janji yg membuai rakyat penjilatnya",Negatif
65,2026-06-12,YouTube,MBG,"Proyek mbg dan kopdes,adalah alat buat menggarong duit negra buat pemilu dan pilpres 2029,pelakunya partai politik dan anggota nya,yg akan mengemis suara kepada rakyat yg diimingi duit hasil menggarong duit mbg dan kopdes,itu menurut pandangan saya..",Negatif
66,2026-06-12,YouTube,MBG,"Sppg & kdmp hanyalah tools untuk 2029..
Ga lebih 
Indo cemas 2045",Negatif
67,2026-06-12,YouTube,MBG,"Anti kritik, merasa selalu benar, bicara semaunya, kebijakan sesukanya, selalu menyalahkan pihak lain ..., itulah presiden trump 😅😅😅",Negatif
68,2026-06-12,YouTube,MBG,Pengalihan isu doang dr kebobrokan pemerintahan skg 😂,Negatif
69,2026-06-12,YouTube,MBG,Cek sppg dkampung2😅😂,Netral
70,2026-06-12,YouTube,MBG,yang perlu di salahin si 58 atau bos nya? bingung kan lu? kalo di GTA uda gw pake tank,Negatif
71,2026-06-12,YouTube,MBG,Kita kok g bisa seh mnhntikn mbg,Negatif
72,2026-06-12,YouTube,MBG,"Bubarin. Titik!
Dari merdeka sampe sebelum BMG ada, ga ada masalah dengan makanan anak sekolah. Semenjak ada BMG, negara jadi kacau muncul masalah2 rumit. Bukannya fokus meningkatkan sdm anak, malah bikin gaduh. Gw yakin pemerintah telat meningkatkan sdm, di saat Indonesia mencapai puncak demografi penduduknya.",Negatif
73,2026-06-12,YouTube,MBG,"MBG tujuan bagus, pelaksanaan ngawur.
1. Harusnya yg dapat anak dari keluarga pra sejahtera. Makanan terbuang krn banyak anak standarnya lbh tinggi dr mbg.
2. Anggaran 10% apbn, negara lain maks 0.5%. Negara tekor.
3. Pakai SPPG,  umkm ditinggal, kualitas kurang krn dana habis di sppg.

Masalahnya, mbg punya target lain : 
1. Bagi2 proyek utk kroni2 nya.
2. Ternak suara pemilu 2029.
3. Mengikat Polri/Tni/Ormas.

Lupakan GIZI. Ini apbn yg dihambur2 kan.",Negatif
74,2026-06-12,YouTube,MBG,"Prabowo pake duit sendiri sebesar 110 miliar utk proyek MBG???

Kemarin perjalanan ke luar negeri pakai duit sendiri.

Masya Allah negara apa ini. Kebijakan dan program pemerintah TIDAK BOLEH pakai duit pribadi pihak2 pelaksana  kebijakan itu sendiri (eksekutif). Karena itu rawan konflik kepentingan 😢

Gak heran lah Pak Prabowo mati-matian mempertahankan MBG di kala defisit anggaran sudah melebar. Soalnya dia punya investasi 110 miliar di situ😢😢😢..

Pak Prabowo harus mewakili kepentingan rakyat donk, bukan kepentingan 110 miliar yang sudah dia setor.",Negatif
75,2026-06-12,YouTube,MBG,"menyimak video ini sambil menangis sedih, mengetahui betapa BUSUKnya pemegang kekuasaan di Indonesia. Selalu saja rakyat Indonesia yang jadi korban, 
apa bedanya dengan jaman belanda atau jepang? kini hanya beda yang menjajah saja. Apakah Indonesia benar sudah MERDEKA?",Negatif
76,2026-06-12,YouTube,MBG,Carut marut MBG tpi presiden ngeyel,Negatif
77,2026-06-12,YouTube,MBG,"pertamax 92 dahh naik dari 12 ribuan ke 16 ribuan. jng2 untuk cover mbg ya. ya ampunnnnnnnnnnnnnnnnnnnnn, gilaaaaaaaaa bener",Positif
78,2026-06-12,YouTube,MBG,Semoga kejadian tahun '98 tidak terjadi.,Negatif
79,2026-06-12,YouTube,MBG,Liga maling bergizi gratis keren 😂😂😂,Positif
80,2026-06-12,YouTube,MBG,Kasat mata,Netral
81,2026-06-12,YouTube,MBG,"Tidak bisa berkata2, entah mau sampai kapan negeri ini. Semoga menjadi wni jdi ringannya hisab aamiin 🤲",Positif
82,2026-06-12,YouTube,MBG,Cacat dari ide,Negatif
83,2026-06-12,YouTube,MBG,mana laut uda punya orang lagi bukan punya pemerintah lagi. haduh,Negatif
84,2026-06-12,YouTube,MBG,Kami MUAK!!,Negatif
85,2026-06-12,YouTube,MBG,Guillotine,Negatif
86,2026-06-12,YouTube,MBG,"MBG adalah proyek anggaran besar yg dijadikan ladang korupsi oleh para pejabat dan timses dekat penguasa, realita di lapangan MBG gak menguntungkan UMKM, MBG justru menguntungkan distributor besar sembako",Negatif
87,2026-06-12,YouTube,MBG,"Program serampangan dan tanpa arah hasil produk kampanye.., ketika pemerintah panik (karna banyak korupsi) mereka nyari solusi instan (tutup beberapa sppg) nah solusi instan itu jga serampangan.. akhrinya banyak gesekan dibawah.. kocak""",Negatif
88,2026-06-12,YouTube,MBG,"335 triliun mending buat sekolahin anak bangsa, seleksi, pembinaan dan lapangan kerja setelah lulus",Negatif
89,2026-06-12,YouTube,MBG,"Benar benar gila korupsinya terstruktur dan sistematis kejahatan dibungkus dengan program mbg, Presiden dan pejabatnya benar benar bangsat negara",Negatif
90,2026-06-12,YouTube,MBG,Nyopet uang rakyat 😢,Negatif
91,2026-06-12,YouTube,MBG,"Intinya semua ini ulah Prabowo sejak awal,program MBG sengaja direncanakan Prabowo utk keberlangsungan pemerintahan di 2029 nnt..",Negatif
92,2026-06-12,YouTube,MBG,Oh.. pak Soros kasih kami duwiiit,Negatif
93,2026-06-12,YouTube,MBG,Tapi tetep aja peciden nganggapnya rakyat indonesia bahagia 😂,Positif
94,2026-06-12,YouTube,MBG,BGN= Badan garong nasional😂,Netral
95,2026-06-12,YouTube,MBG,Setiap ada proyek disitu ada korupsi.,Negatif
96,2026-06-12,YouTube,MBG,"Bongkar Semuanya! 
Biar tahu 58% Rakyat Indonesia bagaiamana Bobroknya Program si Prabowo ini dengan Korupsi nya 😂",Negatif
97,2026-06-12,YouTube,MBG,MBG = Mafia Bancakan Geragas,Negatif
98,2026-06-12,YouTube,MBG,"Emang niatnya bersekongkol jahat, anggaran segitu siapa yang bisa lempeng",Negatif
99,2026-06-12,YouTube,MBG,Program populis. Perencanaanya gak jelas. Program asal jadi. Cacat hukum. Dasar kebijakan gak jelas. Eksekusi serampangan. Sudah diingatkan kalau progran ini cacat hukum. Masih juga ngeyel. Siswa keracunan. Pos anggaran pendidikan dipangkas,Negatif
100,2026-06-12,YouTube,MBG,Para pemangku kebijakan cacat secara moral.,Negatif
101,2026-06-12,YouTube,MBG,"Korupsi pejabat negara bebas dari pemeriksaan pajak juga.  Kok enak sekali ya??  Pengusaha asli buat bisnis harus bayar pajak gede, resiko bangkrut tidak dijamin pemerintah.   Lha koruptor? bebas pajak ??",Negatif
102,2026-06-12,YouTube,MBG,"Kok serasa  dana APBN milik pribadi pejabat negara ( temasuk presiden ? )  Seperti Danantara juga..serasa perusahaan  milik pribadi??.   Pakai anggaran semau nya sendiri,  tidak pake control dan audit",Negatif
103,2026-06-12,YouTube,MBG,"Dah ke bukti omongan tempo dr thn lalu emang benar, Dan omongan pemerintah perlu di cerna bener tdknya (fakta)",Negatif
104,2026-06-12,YouTube,MBG,"Harus nya pencetus dan pendiri nya  dihukum juga.  Program  cacat , kok disetujui DPR ? Rakyat juga diam saja.  Seperti Danantara juga...lagi lagi tidak ada pengawasan dan audit ?",Negatif
105,2026-06-12,YouTube,MBG,ayo masyarakat indonesia kita harusnya sudah sadar bagaimana sekarang ini negara kita dipimpin oleh para pejabat yang hanya mementingkan keuntungan pribadinya saja :),Negatif
106,2026-06-12,YouTube,MBG,ilustrasinya gokilllll,Negatif
107,2026-06-12,YouTube,MBG,Kabinet gemoy,Positif
108,2026-06-12,YouTube,MBG,Program bancakan nasional,Netral
109,2026-06-12,YouTube,MBG,cuma bisa nonton uang kita dirampok,Negatif
110,2026-06-12,YouTube,MBG,Memang ladang korupsi,Negatif
111,2026-06-12,YouTube,MBG,sejahteralah kaum partai pendukung prabowo.. rakyat siap siap tambal apbn yg jebol di bancakk..,Positif
112,2026-06-12,YouTube,MBG,M aling B egal G arong program merampok Rakyat Indonesia :face-red-droopy-eyes:,Negatif
113,2026-06-12,YouTube,MBG,"pandangan dari kacamata masyarakat umum :  penagkapan besar-besaran saat ini, cuma gimmick - pengalihan. apalagi bertepatan pengesahan ruu polri. 
Penangkapan ini juga tidak jellas hukuman nya, tsk masih terlihat senyum-senyum. Sudah terlihat cuma pembagian jabatan saja. 
MBG tetap berjalan, pembukaan lahan besar-besaran lahan PSN  masih berjalan.",Negatif
114,2026-06-12,YouTube,MBG,Tumben buzzer MBG belum nongol,Negatif
115,2026-06-12,YouTube,MBG,"Gila Korupsi nya berjamaah. Pantesan nggak bisa tersentuh sama sekali programnya 😂😂😂(Ketua partai, anggota partai) ngomong nya mah buat kesejahteraan masyarakat, masyarakat Partai maksudnya???",Negatif
116,2026-06-12,YouTube,MBG,undang-undang sebagai payung hukumnya pun tidak ada...!!,Negatif
117,2026-06-12,YouTube,MBG,"1,2 triliun sehari hanya untuk bikin nasi kotak, buat gaji guru udah luber luber itu😂",Negatif
118,2026-06-12,YouTube,MBG,"Cacat sejak awal , pengawasan tidak ada cenderung pembiaran terutama masalah pengadaan jauh dr Tujuan didirikan nya MBG , bahkan ketua BGN yang baru adalah timses bukannya dari yang ahli di bidangnya , hanya jadi lahan aggta dewan ,TNI , POLRI(mayoritas yang mengelola SPPG) alias BAGI2 KUE SAJA!",Negatif
119,2026-06-12,YouTube,MBG,GRATIS ye.... kalo pake uang nya wowo beneran gratis,Positif
120,2026-06-12,YouTube,MBG,Sini maen ke Solo,Netral
121,2025-06-26,YouTube,MBG,Ga yakin tiap hari bisa begini.. tp kita doakan semoga lancar,Positif
122,2025-06-26,YouTube,MBG,"DЕ𝙒АD𝐎R𝘼 gua cba bentar, eh lngsg WEDEY gede",Positif
123,2025-06-26,YouTube,MBG,"Alhamdulillah, rezeki lancar jaya berkat DЕ𝙒АD𝐎R𝘼!",Positif
124,2025-06-26,YouTube,MBG,Parah! Main di DЕ𝙒АD𝐎R𝘼 bikin ketagihan banget!,Positif
125,2025-06-26,YouTube,MBG,"DЕ𝙒АD𝐎R𝘼 aku main dikit, lgnsung dapet hasil gede",Positif
126,2025-06-26,YouTube,MBG,"DЕ𝙒АD𝐎R𝘼 aku cba bentar, jepe gede lgnsung",Positif
127,2025-06-26,YouTube,MBG,"DЕ𝙒АD𝐎R𝘼 gua maen iseng, malah bawa pulang jekpot",Positif
128,2025-06-26,YouTube,MBG,Semoga rezeki dari DЕ𝙒АD𝐎R𝘼 membawa keberuntungan!,Positif
129,2025-06-26,YouTube,MBG,"DЕ𝙒АD𝐎R𝘼 aku maen dikit, saldo lngsg byk",Positif
130,2026-04-27,YouTube,MBG,Guru pea ga punya pendidikan. Pa ja di protes besukur u jangan debat mulu😅,Negatif
131,2026-03-28,YouTube,MBG,"Alhamdulillah...
Para koruptor sekarang sudah sangat gagah berani.",Positif
132,2026-03-28,YouTube,MBG,Program nambongo,Netral
133,2026-03-28,YouTube,MBG,Namanya sudah makanan gratis,Negatif
134,2026-03-28,YouTube,MBG,"itu masih mending,kalo anakku tadi siang cuma dapat satu biji susu kecil,jeruk satu biji kecil,kentang kecil💆",Positif
135,2026-03-28,YouTube,MBG,"KATA BELIAU,
RAKYAT DIANGGAP ANJING MENGGONGGONG.

SETIAP KRITIK DIANGGAP PIHAK YANG SAKIT HATI KARENA KALAH PEMILU.
DIANGGAP PIHAK YANG IRI GAK DAPAT PROYEK DARI PEMERINTAH,
DIANGGAP TIDAK BISA BERBUAT APA-APA HANYA BISA KRITIK.


ITULAH POLA PIKIR BUKAN DARI AKADEMISI,
LULUS SEKOLAH LANGSUNG DAPAT JABATAN.
GELAR BISA DIBELI.
KUALITAS JAUH DARI KUALITAS AKADEMISI AHLI & PROFESIONAL.",Negatif
136,2026-03-28,YouTube,MBG,MBG makan babi guling,Netral
137,2026-03-28,YouTube,MBG,yang begini koq diberi kepercayaan ya ?,Negatif
138,2026-03-28,YouTube,MBG,Prabowo jangan jangan minta jatah 😂😂😂😂,Negatif
139,2026-03-28,YouTube,MBG,Bangast giji semakin gila mending hapus aja ngabisin uwang rakyat gi mana pa persiden tangapan nya jangan omon omon,Negatif
140,2026-03-28,YouTube,MBG,"MBG Gak ada yang gratis karena dari uang pajak rakyat.. tp malah makanan BERACUN gratis yang sampai 12k siswa sekolah itu belum termasuk makanan yang basi, buah yang busuk, roti jamuran dll..
Kl bisa makanan yang basi, buah yang busuk, dan Roti jamuran untuk pegawai BGN langsung dan anak-anaknya mereka",Negatif
141,2026-03-28,YouTube,MBG,"KPK jangan diam,ini sudah ads indikisai korupsi😊😅😮",Negatif
142,2026-03-28,YouTube,MBG,"hentikan mbg.
kesejahteraan guru, kesehatan dan pendidikan gratis, lebih penting.",Negatif
143,2026-03-28,YouTube,MBG,Korupsi untuk gerombolan kelompok pemimpin....,Negatif
144,2026-03-28,YouTube,MBG,MBG  melebihi bansos  korupsinya.presiden omon apalagi polisi bisa dpt tender MBG. Jng salahkan rakyat kalau 1998 bisa terjadi lg. bubarkan MBG jd kadang korupsi wass,Negatif
145,2026-03-28,YouTube,MBG,Sudah jangan banyak protes percuma lebih baik semua berani menolak jangan diterima,Negatif
146,2026-03-28,YouTube,MBG,"Sama sekolahku juga begitu
Kapan hari itu cuma kacang kedele yg digoreng, roti 1, kurma 3 butir 😂😂😂
Kata pak presiden anggarannya @ anak 15k. Apa iya 15k cuma dapat 3 item kek gitu? 😂😂😂
Jelas MBG ini diselewengkan utk ajang korupsi. Kasihan pak presiden yg berniat baik.",Negatif
147,2026-03-28,YouTube,MBG,Data darimana jika perorang 15 ribu?,Negatif
148,2026-03-28,YouTube,MBG,"Itu tugas tim pengawas dari pemerintah ,,cek tuh dengan segera 
Kalau memang betul ,,
Segera cabut tuh izin nya ,,, jangan di kasi ampun ,,,
Ingat jangan di kasi ampun ,
Jangan nanti tim pengawas di kasi suap ,,,jadi batal tuh ,,, jangan hanya di kasi surat peringatan aja,,,
Pantau terus pak presiden,,,",Negatif
149,2026-03-28,YouTube,MBG,"Bagi aku bu yang penting ada gizinya sesuai keuangan nya ,upah supirngatar ,cuci bekas makanan mbg mecari bahan ,memasak nya lagi itu pasti ada upah ,aku tetap hargai makanan mbg .",Positif
150,2026-03-28,YouTube,MBG,Lengserkan Pranowo BEM seluruh Indonesia.. kenapa kalian diem liat bgini an,Negatif
151,2026-03-28,YouTube,MBG,"Bukan pembodohan, tapi proyek.. 
Bersyukurlah kalian wali kelas,
Kalo ga hadir siswa, kalian bawa pulang..",Positif
152,2026-03-28,YouTube,MBG,Salute sebagai pendobrak n pnggebrak ...God Bless Guruku😮🎉😂❤😊🎉❤😮❤🎉,Positif
153,2026-03-28,YouTube,MBG,"MBG Maling Berkedok Gizi
Dan para pelakunya ya org2 dr partai BERKUASA beserta koalisinya dan org2 yg senang makan uang HARAM JADDAH..",Negatif
154,2026-03-28,YouTube,MBG,"Prabowo sendiri yg MEMBUKA JALAN LEBAR UTK KORUPSI di negara ini...
Katanya mengejar koruptor smpai ke ANTAR TIKA tp malah sebaliknya...",Negatif
155,2026-03-28,YouTube,MBG,🎉🎉🎉🎉😂😂😂 mal iang berkedok gusi,Negatif
156,2026-03-28,YouTube,MBG,Hentikan mbg woi....,Negatif
157,2026-03-28,YouTube,MBG,#Stopp mbg,Negatif
158,2026-03-28,YouTube,MBG,"gubernur, wali kota, dpr ampe bupati  koruptor semua 🤣🤣kadang jeruk dikasih jeruk yg asam bukan yg manis",Negatif
159,2026-03-28,YouTube,MBG,Mengapa rakyat terus diam ????,Negatif
160,2026-03-28,YouTube,MBG,Ladang baru utk koruptor .....,Negatif
161,2026-03-28,YouTube,MBG,"Bagusnya di hentikan,ini program  gagal hanya menghambur2kan uang negara, kalo uang pribadi silahkan",Negatif
162,2026-03-28,YouTube,MBG,"Sudah diprediksi dari awal, program ini jadi lahan korupsi😂 ya sakarepmulah",Negatif
163,2026-03-28,YouTube,MBG,"Rembes 10 rb ,Bu.....blm jg diambil pengusahanya,...rembes partai pendukung......mmg dasar sdh terbiasa mainan uang rakyat mereka",Negatif
